N,replica,metric,value
50,57,lcc_ratio,0.04
50,57,avg_shortest_path_lcc,1.0
50,57,diameter_lcc,1.0
50,57,degree_assortativity_ud,
50,57,avg_clustering_ud,0.0
50,57,modularity_ud,0.5
50,58,n_nodes,50.0
50,58,n_edges,22.0
50,58,lcc_nodes,21.0
50,58,lcc_ratio,0.42
50,58,avg_shortest_path_lcc,1.9047619047619047
50,58,diameter_lcc,2.0
50,58,degree_assortativity_ud,-0.8491655222178252
50,58,avg_clustering_ud,0.0
50,58,modularity_ud,0.158790170132325
50,59,n_nodes,50.0
50,59,n_edges,3.0
50,59,lcc_nodes,4.0
50,59,lcc_ratio,0.08
50,59,avg_shortest_path_lcc,1.5
50,59,diameter_lcc,2.0
50,59,degree_assortativity_ud,-1.0
50,59,avg_clustering_ud,0.0
50,59,modularity_ud,0.0
50,60,n_nodes,50.0
50,60,n_edges,6.0
50,60,lcc_nodes,3.0
50,60,lcc_ratio,0.06
50,60,avg_shortest_path_lcc,1.3333333333333333
50,60,diameter_lcc,2.0
50,60,degree_assortativity_ud,-0.4999999999999998
50,60,avg_clustering_ud,0.0
50,60,modularity_ud,0.7222222222222222
50,61,n_nodes,50.0
50,61,n_edges,10.0
50,61,lcc_nodes,8.0
50,61,lcc_ratio,0.16
50,61,avg_shortest_path_lcc,1.75
50,61,diameter_lcc,2.0
50,61,degree_assortativity_ud,-0.6157760814249367
50,61,avg_clustering_ud,0.0
50,61,modularity_ud,0.45999999999999996
50,62,n_nodes,50.0
50,62,n_edges,5.0
50,62,lcc_nodes,4.0
50,62,lcc_ratio,0.08
50,62,avg_shortest_path_lcc,1.5
50,62,diameter_lcc,2.0
50,62,degree_assortativity_ud,-0.42857142857142844
50,62,avg_clustering_ud,0.0
50,62,modularity_ud,0.56
50,63,n_nodes,50.0
50,63,n_edges,22.0
50,63,lcc_nodes,23.0
50,63,lcc_ratio,0.46
50,63,avg_shortest_path_lcc,1.992094861660079
50,63,diameter_lcc,3.0
50,63,degree_assortativity_ud,-0.9202521868019456
50,63,avg_clustering_ud,0.0
50,63,modularity_ud,0.061631944444444545
50,64,n_nodes,50.0
50,64,n_edges,6.0
50,64,lcc_nodes,5.0
50,64,lcc_ratio,0.1
50,64,avg_shortest_path_lcc,1.6
50,64,diameter_lcc,2.0
50,64,degree_assortativity_ud,-0.7538461538461542
50,64,avg_clustering_ud,0.0
50,64,modularity_ud,0.4444444444444444
50,65,n_nodes,50.0
50,65,n_edges,8.0
50,65,lcc_nodes,8.0
50,65,lcc_ratio,0.16
50,65,avg_shortest_path_lcc,1.75
50,65,diameter_lcc,2.0
50,65,degree_assortativity_ud,-0.7777777777777778
50,65,avg_clustering_ud,0.0
50,65,modularity_ud,0.21875
50,66,n_nodes,50.0
50,66,n_edges,4.0
50,66,lcc_nodes,5.0
50,66,lcc_ratio,0.1
50,66,avg_shortest_path_lcc,1.6
50,66,diameter_lcc,2.0
50,66,degree_assortativity_ud,-1.0
50,66,avg_clustering_ud,0.0
50,66,modularity_ud,0.0
50,67,n_nodes,50.0
50,67,n_edges,24.0
50,67,lcc_nodes,25.0
50,67,lcc_ratio,0.5
50,67,avg_shortest_path_lcc,1.92
50,67,diameter_lcc,2.0
50,67,degree_assortativity_ud,-1.0
50,67,avg_clustering_ud,0.0
50,67,modularity_ud,1.1102230246251565e-16
50,68,n_nodes,50.0
50,68,n_edges,27.0
50,68,lcc_nodes,26.0
50,68,lcc_ratio,0.52
50,68,avg_shortest_path_lcc,1.9230769230769231
50,68,diameter_lcc,2.0
50,68,degree_assortativity_ud,-0.8620689655172418
50,68,avg_clustering_ud,0.0
50,68,modularity_ud,0.12278876170655553
50,69,n_nodes,50.0
50,69,n_edges,25.0
50,69,lcc_nodes,25.0
50,69,lcc_ratio,0.5
50,69,avg_shortest_path_lcc,1.92
50,69,diameter_lcc,2.0
50,69,degree_assortativity_ud,-0.9230769230769228
50,69,avg_clustering_ud,0.0
50,69,modularity_ud,0.060546875
50,70,n_nodes,50.0
50,70,n_edges,26.0
50,70,lcc_nodes,24.0
50,70,lcc_ratio,0.48
50,70,avg_shortest_path_lcc,1.9166666666666667
50,70,diameter_lcc,2.0
50,70,degree_assortativity_ud,-0.8041781965946203
50,70,avg_clustering_ud,0.0
50,70,modularity_ud,0.21005917159763315
50,71,n_nodes,50.0
50,71,n_edges,27.0
50,71,lcc_nodes,24.0
50,71,lcc_ratio,0.48
50,71,avg_shortest_path_lcc,1.9166666666666667
50,71,diameter_lcc,2.0
50,71,degree_assortativity_ud,-0.7519960835965637
50,71,avg_clustering_ud,0.0
50,71,modularity_ud,0.2500000000000001
50,72,n_nodes,50.0
50,72,n_edges,4.0
50,72,lcc_nodes,3.0
50,72,lcc_ratio,0.06
50,72,avg_shortest_path_lcc,1.3333333333333333
50,72,diameter_lcc,2.0
50,72,degree_assortativity_ud,-0.3333333333333333
50,72,avg_clustering_ud,0.0
50,72,modularity_ud,0.64
50,73,n_nodes,50.0
50,73,n_edges,2.0
50,73,lcc_nodes,2.0
50,73,lcc_ratio,0.04
50,73,avg_shortest_path_lcc,1.0
50,73,diameter_lcc,1.0
50,73,degree_assortativity_ud,
50,73,avg_clustering_ud,0.0
50,73,modularity_ud,0.5
50,74,n_nodes,50.0
50,74,n_edges,1.0
50,74,lcc_nodes,2.0
50,74,lcc_ratio,0.04
50,74,avg_shortest_path_lcc,1.0
50,74,diameter_lcc,1.0
50,74,degree_assortativity_ud,
50,74,avg_clustering_ud,0.0
50,74,modularity_ud,0.0
50,75,n_nodes,50.0
50,75,n_edges,6.0
50,75,lcc_nodes,6.0
50,75,lcc_ratio,0.12
50,75,avg_shortest_path_lcc,1.6666666666666667
50,75,diameter_lcc,2.0
50,75,degree_assortativity_ud,-0.7142857142857144
50,75,avg_clustering_ud,0.0
50,75,modularity_ud,0.27777777777777785
50,76,n_nodes,50.0
50,76,n_edges,5.0
50,76,lcc_nodes,3.0
50,76,lcc_ratio,0.06
50,76,avg_shortest_path_lcc,1.3333333333333333
50,76,diameter_lcc,2.0
50,76,degree_assortativity_ud,-0.2500000000000021
50,76,avg_clustering_ud,0.0
50,76,modularity_ud,0.72
50,77,n_nodes,50.0
50,77,n_edges,5.0
50,77,lcc_nodes,4.0
50,77,lcc_ratio,0.08
50,77,avg_shortest_path_lcc,1.5
50,77,diameter_lcc,2.0
50,77,degree_assortativity_ud,-0.42857142857142844
50,77,avg_clustering_ud,0.0
50,77,modularity_ud,0.56
50,78,n_nodes,50.0
50,78,n_edges,5.0
50,78,lcc_nodes,4.0
50,78,lcc_ratio,0.08
50,78,avg_shortest_path_lcc,1.5
50,78,diameter_lcc,2.0
50,78,degree_assortativity_ud,-0.42857142857142844
