tweet_id,user_id,created_at,text,reply_to,retweet_of,mentions_json
1367620550034661382,706489853748355073,Thu Mar 04 23:38:42 +0000 2021,"@cajustan @karinacomenta Sarah falou que Carla é sonsa? \nQue ela prejudica o Arthur?\nQue as atitudes da Carla foram piores que da Karol e Nego Di?\nQue Carla era medíocre sim pq é o mesmo q mediana?\nQue se Carla bater no paredão ela sai?\nQue Carla é vtzeira?\nEntão não, ela não falou na cara! \n#BBB21",,,[]
1367620545446088709,1205521346828087299,Thu Mar 04 23:38:41 +0000 2021,"Boninho meu filho, eu quero a juliette no paredão, SE VIRE #BBB21",,,[]
1367620527838408719,1320699313333379072,Thu Mar 04 23:38:37 +0000 2021,"Dslcp mas no momento estou querendo que a Pocah vá para o paredão falso, muita GNT fala mal dela la dentro, ela iria chegar causando e tretando com geral, pq a bixa pd até dormir demais, mas quando o barraco vem até ela, ela não deixa baixo não kkk #BBB21 #BBB #pocahlider",,,[]
1367620490299379718,735961836,Thu Mar 04 23:38:28 +0000 2021,Quem vocês querem no Paredão falso? #BBB21,,,[]
2310860312,706489853748355073,Thu Mar 04 23:38:06 +0000 2021,"@_natolea Sarah falou que Carla é sonsa? \nQue ela prejudica o Arthur?\nQue as atitudes da Carla foram piores que da Karol e Nego Di?\nQue Carla era medíocre sim pq é o mesmo q mediana?\nQue se Carla bater no paredão ela sai?\nQue Carla é vtzeira?\nEntão não, ela não falou na cara! \n#BBB21",1367606671871254530,,"[""2310860312""]"
1367620390936326151,2783065662,Thu Mar 04 23:38:05 +0000 2021,"Torcendo por uma dinâmica que coloque a Juliette nesse paredão, AAAAAA. #BBB21",,,[]
1367620384581910528,3296043588,Thu Mar 04 23:38:03 +0000 2021,"Não gostei quejuliette foi conversa com a Thais e falar as coisas na cara dela assim tão rápido, podia esperar mais uns dias. Juliette caça uma confusão pra vc ir no paredão mulher.\n#bbb21",,,[]
1367620381641695234,2210025254,Thu Mar 04 23:38:02 +0000 2021,Sarah é tão piroqueira que no paredão de Juliette x Gil x Bill ela torcia pros machos ficarem e Juliette sair! E olha q a \,,,[]
70240510,706489853748355073,Thu Mar 04 23:37:57 +0000 2021,"@santropia Sarah falou que Carla é sonsa? \nQue ela prejudica o Arthur?\nQue as atitudes da Carla foram piores que da Karol e Nego Di?\nQue Carla era medíocre sim pq é o mesmo q mediana?\nQue se Carla bater no paredão ela sai?\nQue Carla é vtzeira?\nEntão não, ela não falou na cara! \n#BBB21",1367599282241552386,,"[""70240510""]"
1367620192545763329,288968049,Thu Mar 04 23:37:17 +0000 2021,"Será que o boninho já começou mexer os pauzinhos para colocar alguém do G3 (Juliette) no paredão falso? Porque se for Carla, Thais ou Arthur, ou sei la quem, será mais flopado que a casa branca do ano passado..!!\n\n#BBB21",,,[]
